City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
450,luxor,25.6989,32.6421,59.59,46,0,4.23,EG,1674626593
451,rafaela,-31.2503,-61.4867,71.98,58,49,1.01,AR,1674626594
452,kingisepp,59.3733,28.6134,32.18,95,100,9.78,RU,1674626595
453,avera,33.194,-82.5271,44.11,87,94,8.46,US,1674626596
454,tavda,58.0425,65.2726,16.32,85,74,12.73,RU,1674626597
455,tadine,-21.55,167.8833,83.37,74,19,6.38,NC,1674626599
456,daru,-9.0763,143.2092,84.79,70,97,9.44,PG,1674626600
457,buraydah,26.326,43.975,56.64,79,26,10.74,SA,1674626601
458,watsa,3.0372,29.5355,72.03,48,87,2.13,CD,1674626354
459,tinskoy,56.1525,96.9161,16.11,84,94,7.2,RU,1674626602
460,maragogi,-9.0122,-35.2225,75.6,79,16,4.88,BR,1674626483
461,gigmoto,13.7796,124.39,75.27,87,81,21.88,PH,1674626603
462,alta floresta,-9.8756,-56.0861,68.81,98,95,1.48,BR,1674626397
463,ternate,0.8,127.4,82.33,77,70,5.91,ID,1674626605
464,dobroye,52.8678,39.8109,16.93,92,84,3.89,RU,1674626606
465,bud,39.447,-86.1758,37.98,88,100,6.87,US,1674626607
466,acajutla,13.5928,-89.8275,75.81,76,19,5.88,SV,1674626608
467,havelock,34.8791,-76.9013,45.93,72,1,2.66,US,1674626359
468,krabi,8.0726,98.9105,82.33,73,81,11.1,TH,1674626609
469,kovylkino,54.0388,43.9139,17.92,90,94,6.82,RU,1674626610
470,urusha,54.05,122.9,-11.67,81,81,1.63,RU,1674626611
471,nakhon phanom,17.3333,104.4167,76.41,29,4,5.46,TH,1674626612
472,baykit,61.67,96.37,-21.08,100,76,1.77,RU,1674626612
473,taft,31.7471,54.2088,31.87,47,0,1.74,IR,1674626613
474,krasnovishersk,60.4078,57.082,11.43,95,100,7.07,RU,1674626613
475,stromness,58.965,-3.296,47.88,83,100,18.01,GB,1674626614
476,tyumen,57.1522,65.5272,14.34,78,0,11.18,RU,1674626356
477,barra do corda,-5.5,-45.25,72.07,96,44,1.61,BR,1674626616
478,hafizabad,32.0679,73.6854,60.42,66,88,1.7,PK,1674626617
479,gilgit,35.9221,74.3087,35.49,74,82,1.41,PK,1674626617
480,aden,12.7794,45.0367,76.77,67,37,18.63,YE,1674626343
481,pimampiro,0.4,-77.9667,55.45,85,75,5.26,EC,1674626619
482,pangai,-19.8,-174.35,83.1,70,2,6.78,TO,1674626620
483,poli,-3.3333,36.8,67.48,58,100,2.06,TZ,1674626620
484,pacifica,37.6138,-122.4869,55.8,69,20,8.05,US,1674626621
485,khorixas,-20.3667,14.9667,67.51,52,31,5.17,NA,1674626622
486,ondjiva,-17.0667,15.7333,68.18,82,21,7.07,AO,1674626622
487,armeria,18.9333,-103.9667,67.1,75,0,4.21,MX,1674626623
488,port-gentil,-0.7193,8.7815,78.76,94,20,3.44,GA,1674626487
489,marawi,7.9986,124.2928,72.12,80,100,6.38,PH,1674626624
490,youghal,51.95,-7.8506,47.55,100,100,4.65,IE,1674626625
491,kulhudhuffushi,6.6221,73.07,79.5,79,98,12.01,MV,1674626625
492,saint-louis,16.3333,-15.0,72.14,25,41,8.1,SN,1674626626
